,height,rise
39792,5.3991e-07,0.0012
32701,5.40931e-07,0.00122
48995,5.41239e-07,0.001263
14960,5.41611e-07,0.001231
82010,5.37115e-07,0.001215
56708,5.42446e-07,0.001264
74164,5.45843e-07,0.001248
62174,5.42352e-07,0.001242
90351,5.45879e-07,0.001335
20447,5.39732e-07,0.001196
508,5.41112e-07,0.001283
8915,5.3984e-07,0.001254
40077,5.45739e-07,0.001289
14972,5.43643e-07,0.001254
82210,5.42336e-07,0.001253
33165,5.439e-07,0.001269
62852,5.40445e-07,0.001247
74254,5.43895e-07,0.001189
20879,5.40408e-07,0.001243
95667,5.44854e-07,0.001292
49525,5.39605e-07,0.001255
675,5.42553e-07,0.001272
90798,5.41386e-07,0.001266
57077,5.37594e-07,0.001248
9334,5.41784e-07,0.001264
40127,5.42692e-07,0.001271
63054,5.40363e-07,0.001209
21171,5.40732e-07,0.001204
74680,5.37385e-07,0.001246
82826,5.41054e-07,0.001276
15000,5.4837e-07,0.001299
33315,5.40545e-07,0.001311
95692,5.41576e-07,0.001237
50027,5.43861e-07,0.001283
57272,5.37148e-07,0.001259
859,5.41199e-07,0.001306
92123,5.43006e-07,0.00124
9384,5.41152e-07,0.001209
40386,5.41438e-07,0.001271
21441,5.41392e-07,0.00123
74923,5.43545e-07,0.001308
63968,5.42502e-07,0.001293
33485,5.45456e-07,0.001257
15473,5.40001e-07,0.001248
82851,5.42615e-07,0.001291
96495,5.41643e-07,0.001252
57394,5.39273e-07,0.001238
1032,5.43709e-07,0.001277
92125,5.44603e-07,0.001271
50211,5.43511e-07,0.001233
9975,5.44284e-07,0.001269
21455,5.40455e-07,0.00123
41304,5.41782e-07,0.001247
75337,5.41713e-07,0.001229
64932,5.40906e-07,0.001272
15607,5.41757e-07,0.00128
33503,5.395e-07,0.001236
84058,5.42015e-07,0.001275
57445,5.37e-07,0.00121
51159,5.43425e-07,0.001281
92236,5.42469e-07,0.001276
97094,5.3797e-07,0.001217
1066,5.41797e-07,0.001305
10066,5.45266e-07,0.001198
21938,5.41026e-07,0.001264
41615,5.40307e-07,0.001239
75689,5.43775e-07,0.001289
65441,5.42561e-07,0.001256
15974,5.3753e-07,0.00127
33858,5.35107e-07,0.001237
57919,5.39804e-07,0.001208
92383,5.41528e-07,0.001279
84420,5.41312e-07,0.001261
51636,5.42258e-07,0.001232
1180,5.3771e-07,0.001242
97295,5.42844e-07,0.001306
22007,5.46304e-07,0.001333
76008,5.44018e-07,0.001274
10211,5.39447e-07,0.001247
66758,5.42199e-07,0.001248
15980,5.37506e-07,0.001246
41772,5.4039e-07,0.001282
34184,5.39839e-07,0.001255
92531,5.40301e-07,0.001263
57962,5.42752e-07,0.001298
1284,5.43379e-07,0.001273
51639,5.42438e-07,0.001262
84935,5.4162e-07,0.001274
67127,5.41935e-07,0.001218
22813,5.43834e-07,0.001243
76043,5.42017e-07,0.001276
98025,5.43034e-07,0.001227
10612,5.43724e-07,0.001326
16277,5.41014e-07,0.001307
42085,5.41543e-07,0.001237
34261,5.36123e-07,0.00121
23208,5.40522e-07,0.001213
58284,5.42555e-07,0.001297
51964,5.42278e-07,0.001321
85542,5.38229e-07,0.001222
98327,5.43261e-07,0.001253
1403,5.40736e-07,0.00124
93209,5.43802e-07,0.001285
76315,5.42015e-07,0.001236
67670,5.40902e-07,0.001252
10615,5.36201e-07,0.001179
16652,5.40451e-07,0.001247
34975,5.40347e-07,0.001252
42540,5.43772e-07,0.001239
58363,5.43694e-07,0.001283
23339,5.4425e-07,0.001282
86213,5.41712e-07,0.001264
52034,5.41978e-07,0.001324
76622,5.39944e-07,0.001254
93348,5.43288e-07,0.001287
1995,5.40033e-07,0.001243
98764,5.45362e-07,0.001251
11228,5.35055e-07,0.001231
16963,5.42594e-07,0.001247
68103,5.43876e-07,0.001266
35274,5.44308e-07,0.00128
42588,5.42902e-07,0.001265
24220,5.43765e-07,0.001247
52475,5.43439e-07,0.001254
76778,5.40039e-07,0.001228
58491,5.43907e-07,0.001251
2441,5.42227e-07,0.001279
17118,5.40751e-07,0.001253
