, height,rise
39792,1.49061e-06,0.000122
32701,1.4956e-06,0.000121
48995,1.4995e-06,0.00012
14960,1.46592e-06,0.000129
82010,1.51262e-06,0.000118
56708,1.4519e-06,0.00013
74164,1.44603e-06,0.000126
62174,1.52618e-06,0.000116
90351,1.46371e-06,0.000128
20447,1.53617e-06,0.000115
508,1.4892e-06,0.000122
8915,1.4275e-06,0.000129
40077,1.48144e-06,0.000122
14972,1.46002e-06,0.000128
82210,1.48885e-06,0.000121
33165,1.50656e-06,0.000118
62852,1.49088e-06,0.000123
74254,1.47937e-06,0.000124
20879,1.46459e-06,0.000128
95667,1.52655e-06,0.000115
49525,1.47868e-06,0.000123
675,1.47926e-06,0.000124
90798,1.47962e-06,0.000125
57077,1.50831e-06,0.000117
9334,1.41131e-06,0.000135
40127,1.49063e-06,0.000121
63054,1.52388e-06,0.000115
21171,1.49036e-06,0.000121
74680,1.46805e-06,0.000126
82826,1.5232e-06,0.000114
15000,1.104e-06,0.000133
33315,1.56251e-06,0.000111
95692,1.49775e-06,0.000119
50027,1.52232e-06,0.000117
57272,1.53552e-06,0.000115
859,1.46671e-06,0.000127
92123,1.44799e-06,0.000131
9384,1.48978e-06,0.000121
40386,1.49378e-06,0.000122
21441,1.44868e-06,0.000129
74923,1.43915e-06,0.00013
63968,1.4241e-06,0.000134
33485,1.4566e-06,0.000128
15473,1.54283e-06,0.000115
82851,1.49009e-06,0.000122
96495,1.53855e-06,0.000112
57394,1.51309e-06,0.000118
1032,1.50586e-06,0.00012
92125,1.49263e-06,0.000119
50211,1.51282e-06,0.000117
9975,1.52363e-06,0.000118
21455,1.49705e-06,0.000122
41304,1.49736e-06,0.000118
75337,1.45265e-06,0.000129
64932,1.47541e-06,0.000126
15607,1.47617e-06,0.000126
33503,1.47415e-06,0.000124
84058,1.50812e-06,0.000119
57445,1.44261e-06,0.00013
51159,1.5059e-06,0.000119
92236,1.49354e-06,0.00012
97094,1.54118e-06,0.000113
1066,1.45958e-06,0.000127
10066,1.54805e-06,0.000111
21938,1.53273e-06,0.000115
41615,1.5235e-06,0.000117
75689,1.47455e-06,0.000125
65441,1.48085e-06,0.000122
15974,1.52704e-06,0.000116
33858,1.4915e-06,0.00012
57919,1.46184e-06,0.000126
92383,1.49363e-06,0.000122
84420,1.51917e-06,0.000119
51636,1.49483e-06,0.000121
1180,1.5092e-06,0.000119
97295,1.56254e-06,0.000111
22007,1.46047e-06,0.000129
76008,1.50486e-06,0.000116
10211,1.51512e-06,0.000117
66758,1.49525e-06,0.00012
15980,1.4424e-06,0.000127
41772,1.54632e-06,0.000113
34184,1.49026e-06,0.000123
92531,1.55827e-06,0.000108
57962,1.5322e-06,0.000115
1284,1.51826e-06,0.000118
51639,1.52056e-06,0.000116
84935,1.54215e-06,0.000114
67127,1.51524e-06,0.000117
22813,1.44669e-06,0.000129
76043,1.52632e-06,0.000115
98025,1.48131e-06,0.000126
10612,1.53169e-06,0.000116
16277,1.52355e-06,0.000114
42085,1.48752e-06,0.000123
34261,1.51711e-06,0.000117
23208,1.52536e-06,0.000113
58284,1.50132e-06,0.00012
51964,1.51269e-06,0.000116
85542,1.46e-06,0.000128
98327,1.49048e-06,0.000118
1403,1.49035e-06,0.000119
93209,1.52417e-06,0.000114
76315,1.54364e-06,0.000114
67670,1.47207e-06,0.000125
10615,1.497e-06,0.000123
16652,1.48646e-06,0.000123
34975,1.44633e-06,0.000126
42540,1.46053e-06,0.00013
58363,1.4845e-06,0.000125
23339,1.46355e-06,0.000129
86213,1.50861e-06,0.000119
52034,1.5152e-06,0.000117
76622,1.50986e-06,0.000118
93348,1.52764e-06,0.000115
1995,1.49265e-06,0.000122
98764,1.40349e-06,0.000133
11228,1.43886e-06,0.00013
16963,1.45962e-06,0.000123
68103,1.48666e-06,0.000123
35274,1.49115e-06,0.000122
42588,1.53317e-06,0.000117
24220,1.45304e-06,0.000127
52475,1.48975e-06,0.000123
76778,1.53136e-06,0.000115
58491,1.46534e-06,0.000128
2441,1.54499e-06,0.000115
17118,1.51076e-06,0.000118
99131,1.50173e-06,0.00012
68519,1.49875e-06,0.00012
86673,1.55307e-06,0.000111
11447,1.52702e-06,0.000114
94509,1.45685e-06,0.000124
43041,1.49027e-06,0.000123
35560,1.4549e-06,0.000127
24956,1.47463e-06,0.000128
77599,1.50264e-06,0.000118
52980,1.47283e-06,0.000123
11643,1.46937e-06,0.000125
71139,1.49367e-06,0.000122
99858,1.49453e-06,0.00012
59645,1.51559e-06,0.000115
86682,1.42259e-06,0.000133
17145,1.5012e-06,0.000119
95551,1.52832e-06,0.000118
3403,1.52566e-06,0.000112
35750,1.50047e-06,0.00012
43073,1.41578e-06,0.000132
77762,1.49689e-06,0.000121
25768,1.51448e-06,0.00012
53864,1.48523e-06,0.000124
99931,1.46846e-06,0.000128
71413,1.49334e-06,0.000123
87468,1.4462e-06,0.00013
12075,1.49989e-06,0.000119
60077,1.47484e-06,0.000125
17195,1.53073e-06,0.000115
95583,1.5055e-06,0.000119
36670,1.46338e-06,0.000123
3517,1.44132e-06,0.000131
78356,1.52778e-06,0.000114
43446,1.47641e-06,0.000122
26372,1.54131e-06,0.000112
87599,1.4864e-06,0.000122
71723,1.48638e-06,0.000118
17243,1.4925e-06,0.000124
54292,1.41815e-06,0.000131
12484,1.4592e-06,0.000127
60362,1.45356e-06,0.00013
5211,1.51027e-06,0.000118
36776,1.5492e-06,0.000113
3623,1.47605e-06,0.000126
78395,1.53508e-06,0.000113
44181,1.50622e-06,0.000121
26534,1.54082e-06,0.000113
