, height,rise
81632,1.51671e-06,0.000116
20179,1.49403e-06,0.000122
56554,1.44692e-06,0.00013
20264,1.45532e-06,0.000129
89339,1.48841e-06,0.000121
19459,1.50253e-06,0.000122
38658,1.49703e-06,0.000123
74134,1.46356e-06,0.000127
32564,1.46219e-06,0.000126
61873,1.51362e-06,0.000117
81713,1.50178e-06,0.000122
56673,1.51882e-06,0.000115
56691,1.47151e-06,0.000124
89396,1.48246e-06,0.000122
39378,1.49166e-06,0.00012
39750,1.48971e-06,0.00012
90286,1.49195e-06,0.000122
