,height,rise
4146,5.38485e-07,0.001255
72450,5.37951e-07,0.001235
6704,5.39387e-07,0.001254
46510,5.4186e-07,0.001218
36825,5.42444e-07,0.001287
27846,5.38282e-07,0.001228
13656,5.42422e-07,0.001187
79589,5.43672e-07,0.001259
55770,5.40376e-07,0.001245
17527,5.39827e-07,0.001275
87916,5.35261e-07,0.001198
60847,5.38604e-07,0.001268
4642,5.3861e-07,0.001195
72503,5.42196e-07,0.001247
47346,5.44709e-07,0.001255
6781,5.43326e-07,0.001259
36920,5.43973e-07,0.001249
28769,5.41521e-07,0.001284
13706,5.43187e-07,0.0013
79860,5.46464e-07,0.001331
17533,5.40242e-07,0.001209
55771,5.40448e-07,0.001262
4676,5.37558e-07,0.001274
87983,5.42288e-07,0.001232
61064,5.40421e-07,0.001244
48246,5.41935e-07,0.001226
72520,5.41307e-07,0.001294
7279,5.41384e-07,0.001227
37444,5.42698e-07,0.00127
30050,5.40473e-07,0.001229
13751,5.44227e-07,0.001255
80403,5.45642e-07,0.001266
61361,5.39738e-07,0.00124
55787,5.43921e-07,0.001239
88084,5.39361e-07,0.001258
18831,5.41448e-07,0.001232
37743,5.3662e-07,0.001218
7315,5.37775e-07,0.001258
48411,5.43966e-07,0.001286
14571,5.42171e-07,0.001223
72652,5.42919e-07,0.001242
30842,5.3966e-07,0.001231
13917,5.45236e-07,0.001272
61363,5.41189e-07,0.001269
80920,5.40753e-07,0.001292
18922,5.40134e-07,0.001253
88485,5.41057e-07,0.001273
56311,5.45292e-07,0.001332
38225,5.44523e-07,0.001266
14595,5.42181e-07,0.001257
48612,5.42241e-07,0.001244
30897,5.40918e-07,0.001232
73545,5.44369e-07,0.001259
14102,5.38557e-07,0.001274
61399,5.42185e-07,0.001248
81583,5.43258e-07,0.001229
56325,5.41809e-07,0.001262
19997,5.39103e-07,0.001262
19108,5.4053e-07,0.001311
88981,5.45109e-07,0.001282
38547,5.44556e-07,0.001284
48782,5.4298e-07,0.001267
73977,5.40899e-07,0.001235
31327,5.42931e-07,0.001284
61617,5.41246e-07,0.001189
81632,5.38898e-07,0.001245
20179,5.43814e-07,0.001241
56554,5.40706e-07,0.001234
20264,5.44959e-07,0.00125
89339,5.37645e-07,0.001288
19459,5.39648e-07,0.001246
38658,5.42063e-07,0.001324
74134,5.4166e-07,0.001302
32564,5.40875e-07,0.00122
61873,5.41928e-07,0.001231
81713,5.41726e-07,0.001244
56673,5.43277e-07,0.001319
56691,5.40553e-07,0.001238
89396,5.46405e-07,0.0013
39378,5.40731e-07,0.001263
39750,5.39422e-07,0.001278
90286,5.37431e-07,0.001206
